No,Nama Lengkap,Prodi,Jenis Kelamin,Jarak Tempat Tinggal kesekolah(Km),Asal Sekolah,Tahun Lulus,SKS,Ikut Organisasi,Ikut UKM,IPK,Pekerjaan Orang Tua,Penghasilan,Tanggungan,Status Beasiswa,Status_KIP,Status_PKH
11.0,DIAN PRAMUTIA,Bimbingan dan Konseling | Reguler,P,Dekat,MA ANWANUL FALAH,2020.0,21.0,Tidak,Ikut,3.52,Petani,Rendah,2.0,Tidak,Tidak,Ya
12.0,ANGGIE LUTHFIA FEBRIANTI,Bimbingan dan Konseling | Reguler,P,Jauh,SMKN 1 NGAMBUR,2020.0,21.0,Tidak,Ikut,2.81,Pedagang,Rendah,2.0,Tidak,Ya,Ya
13.0,IDA HALIPATUL AINI,Bimbingan dan Konseling | Reguler,P,Dekat,MA ROUDLOTUL HUDA PURWOSARI PADANG RATU,2020.0,21.0,Tidak,Ikut,3.7,Karyawan Swasta,Sedang,1.0,Tidak,Tidak,Tidak
14.0,AGAM FAZRI ALFAZNI,Bimbingan dan Konseling | Reguler,L,Dekat,SMK YPIB KOTABUMI LAMPUNG UTARA,2020.0,21.0,Tidak,Ikut,3.71,Petani,Rendah,2.0,Tidak,Tidak,Tidak
15.0,IQRO MUROFIQ,Bimbingan dan Konseling | Reguler,L,Dekat,SMKN SUKOHARJO,2020.0,21.0,Tidak,Ikut,3.38,Wiraswasta,Tinggi,1.0,Tidak,Tidak,Ya
16.0,DEVI ANGGRAINI,Bimbingan dan Konseling | Reguler,P,Dekat,SMA N 1 SEMAKA,2020.0,21.0,Tidak,Ikut,3.57,Petani,Rendah,2.0,Tidak,Ya,Ya
17.0,ASTRIT NUR WAHIDAH,Bimbingan dan Konseling | Reguler,P,Dekat,SMK YP SERDANG,2020.0,21.0,Tidak,Ikut,3.29,Pedagang,Rendah,2.0,Tidak,Ya,Tidak
18.0,EVITA ANANDA PUTRI,Bimbingan dan Konseling | Reguler,P,Jauh,SMAN 1 BUAY PEMACA OKU SELATAN,2020.0,21.0,Tidak,Ikut,3.0,Wiraswasta,Rendah,1.0,Tidak,Tidak,Ya
19.0,ANGGUN DEVITASARI,Bimbingan dan Konseling | Reguler,P,Jauh,SMK HAMPAR BAIDURI,2020.0,21.0,Tidak,Ikut,3.48,Wiraswasta,Sedang,2.0,Tidak,Tidak,Ya
20.0,PURNAMA GUSTI APRIYANDO,Bimbingan dan Konseling | Reguler,L,Dekat,SMA N 1 SENDANG AGUNG,2020.0,21.0,Tidak,Ikut,3.57,Petani,Tinggi,1.0,Tidak,Ya,Ya
21.0,DESWITA PUTRI MAHARANI,Bimbingan dan Konseling | Reguler,P,Dekat,SMA N 1 BANGUN REJO,2020.0,21.0,Tidak,Ikut,2.9,Petani,Rendah,2.0,Tidak,Tidak,Ya
22.0,TIKA SAFITRI,Bimbingan dan Konseling | Reguler,P,Dekat,SMA N 1 TALANG PADANG,2020.0,21.0,Ikut,Ikut,3.71,PNS,Tinggi,2.0,Tidak,Tidak,Tidak
23.0,AFREZA WULANDARI,Bimbingan dan Konseling | Reguler,P,Dekat,SMAN 1 PULAU PANGGUNG,2020.0,21.0,Ikut,Ikut,3.57,Petani,Sedang,2.0,Tidak,Ya,Tidak
24.0,WINDI ANIKA PUTRI,Bimbingan dan Konseling | Reguler,P,Dekat,MAN 2 BANDAR LAMPUNG,2020.0,21.0,Ikut,Ikut,3.52,Wiraswasta,Tinggi,3.0,Tidak,Ya,Ya
25.0,MEGA NAWANG ULAN,Bimbingan dan Konseling | Reguler,P,Dekat,SMA MUHAMMADIYAH GISTING,2020.0,21.0,Tidak,Ikut,3.33,Buruh,Rendah,2.0,Tidak,Ya,Ya
26.0,WIDIA WATI,Bimbingan dan Konseling | Reguler,P,Dekat,SMK YASMIDA AMBARAWA,2020.0,21.0,Tidak,Ikut,3.62,Petani,Tinggi,3.0,Tidak,Tidak,Tidak
27.0,ANGGI AHMAD SARLADI,Bimbingan dan Konseling | Reguler,L,Dekat,MA MATHLAUL ANWAR GISTING,2020.0,21.0,Tidak,Ikut,3.62,Wiraswasta,Rendah,2.0,Tidak,Ya,Tidak
28.0,SYARAH AULIA,D III Keperawatan | Reguler,P,Jauh,SMA MUHAMMADIYAH 01 MESUJI TIMUR,2020.0,21.0,Tidak,Ikut,3.29,Wiraswasta,Tinggi,1.0,Tidak,Tidak,Tidak
29.0,NILA KARMILA,D III Keperawatan | Reguler,P,Dekat,SMA N 1 SEMAKA,2020.0,21.0,Ikut,Ikut,3.71,Wiraswasta,Tinggi,1.0,Tidak,Tidak,Tidak
30.0,SINTA CAROLLINA,D III Keperawatan | Reguler,P,Dekat,MA PONPES AL-MUHSIN METRO,2020.0,21.0,Ikut,Ikut,2.81,Petani,Rendah,3.0,Tidak,Ya,Ya
31.0,MIFTAHUL KHASANAH,D III Keperawatan | Reguler,P,Dekat,SMA N 1KOTAAGUNG,2020.0,21.0,Ikut,Ikut,3.33,Petani,Tinggi,2.0,Tidak,Tidak,Tidak
32.0,FARHAN AGUNG AVIANTO,D III Keperawatan | Reguler,L,Dekat,SMA NEGERI 01 GUNUNG ALIP,2020.0,21.0,Tidak,Ikut,2.9,Wiraswasta,Sedang,2.0,Tidak,Ya,Ya
33.0,RIA MUSTIKA,D III Keperawatan | Reguler,P,Jauh,SMAN 1 KIKIM TIMUR,2020.0,21.0,Tidak,Ikut,3.52,Pedagang,Rendah,2.0,Tidak,Tidak,Tidak
34.0,SAHRUL ARDIANSYAH,D III Keperawatan | Reguler,L,Dekat,MAN 2 BANDARLAMPUNG,2020.0,21.0,Tidak,Ikut,3.57,PNS,Tinggi,2.0,Tidak,Ya,Tidak
35.0,KURNIA APNI PRAHITA,D III Keperawatan | Reguler,P,Dekat,SMAN 2 PUNDUH PIDADA,2020.0,21.0,Tidak,Ikut,3.38,Buruh,Rendah,2.0,Tidak,Tidak,Ya
36.0,INDI KURNIA ASTUTI,D III Keperawatan | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020.0,21.0,Tidak,Ikut,3.38,PNS,Tinggi,1.0,Tidak,Tidak,Ya
37.0,LAILI FITRIA,D III Keperawatan | Reguler,P,Jauh,SMAN 4 BANDAR LAMPUNG,2020.0,21.0,Tidak,Ikut,3.29,PNS,Tinggi,2.0,Tidak,Tidak,Ya
38.0,MELINDA WINI ARIANTI,D III Keperawatan | Reguler,P,Jauh,SMA NEGERI 1 KALIREJO,2020.0,21.0,Tidak,Ikut,3.9,PNS,Tinggi,1.0,Tidak,Ya,Ya
39.0,DWI AJENG PRAWINDA,D III Keperawatan | Reguler,P,Dekat,SMAN 1 KALIREJO,2020.0,21.0,Tidak,Ikut,3.38,PNS,Sedang,4.0,Tidak,Tidak,Ya
40.0,DENI MUTIARA SENJA,D III Keperawatan | Reguler,P,Jauh,SMK YPIB KOTABUMI,2020.0,21.0,Tidak,Ikut,3.79,Petani,Sedang,4.0,Terima,Tidak,Tidak
41.0,WINDA ANTIKA,D III Keperawatan | Reguler,P,Jauh,SMAN 1 MERKASA AJI,2020.0,21.0,Tidak,Ikut,3.38,PNS,Tinggi,3.0,Tidak,Tidak,Ya
42.0,GITA TRI ANDINI,D III Keperawatan | Reguler,P,Dekat,SMK WIDYA YAHYA GADINGREJO,2020.0,21.0,Tidak,Ikut,3.48,Wiraswasta,Sedang,3.0,Tidak,Ya,Ya
43.0,IRGZI AULIA HAQ,D III Keperawatan | Reguler,P,Jauh,SMAN 1 CANDIPURO,2020.0,21.0,Tidak,Ikut,3.52,Wiraswasta,Rendah,3.0,Tidak,Tidak,Ya
44.0,YURIKA,D III Keperawatan | Reguler,P,Dekat,SMAN 1 TALANGPADANG,2020.0,21.0,Tidak,Ikut,3.33,Petani,Rendah,3.0,Tidak,Ya,Ya
45.0,TRIA ULLY VIANA,D III Keperawatan | Reguler,P,Dekat,SMA NEGERI 1 BANGUNREJO,2020.0,21.0,Tidak,Ikut,3.43,Wiraswasta,Sedang,3.0,Tidak,Ya,Tidak
46.0,AMANAH ALFI HASANAH,D III Keperawatan | Reguler,P,Dekat,SMA ISLAM KEBUMEN,2020.0,21.0,Tidak,Ikut,3.38,Wiraswasta,Sedang,3.0,Tidak,Tidak,Ya
47.0,ELISA SETIAWATI,D III Keperawatan | Reguler,P,Dekat,SMA N 1 PRINGSEWU,2020.0,21.0,Tidak,Ikut,3.4,Wiraswasta,Rendah,3.0,Tidak,Ya,Ya
48.0,SRI AYU NINGSIH,D III Keperawatan | Reguler,P,Dekat,SMA NEGERI 1 KALIANDA,2020.0,21.0,Tidak,Ikut,3.57,Wiraswasta,Sedang,1.0,Tidak,Ya,Tidak
49.0,INTAN SYA DEWI,D III Keperawatan | Reguler,P,Dekat,SMK WIDYA YAHYA GADINGREJO,2020.0,21.0,Tidak,Ikut,3.75,Petani,Rendah,3.0,Terima,Tidak,Tidak
50.0,TARISYA CINDY NATASYA,D III Keperawatan | Reguler,P,Jauh,SMA NEGERI 1 WAY JEPARA,2020.0,21.0,Tidak,Ikut,3.57,PNS,Tinggi,2.0,Tidak,Ya,Ya
51.0,YANTI TAMARA,D III Keperawatan | Reguler,P,Dekat,SMA N 01 SUKOHARJO,2020.0,21.0,Tidak,Ikut,3.29,PNS,Tinggi,2.0,Tidak,Tidak,Ya
52.0,DONI ROMANSYAH,D III Keperawatan | Reguler,L,Dekat,SMKN 1 KOTAAGUNG BARAT,2020.0,21.0,Tidak,Ikut,2.62,Petani,Sedang,2.0,Tidak,Tidak,Tidak
53.0,HELEN RESTUNI,D III Keperawatan | Reguler,P,Dekat,SMK WIDYA YAHYA GADINGREJO,2020.0,21.0,Tidak,Ikut,3.71,PNS,Sedang,1.0,Tidak,Tidak,Ya
54.0,GADIS MARVINDA PURI,D III Keperawatan | Reguler,P,Dekat,SMA NEGERI 2 KALIANDA,2020.0,21.0,Tidak,Ikut,3.67,Buruh,Rendah,2.0,Tidak,Ya,Ya
55.0,SEPTY HAYATUN NUFUSH,D III Keperawatan | Reguler,P,Jauh,SMA NEGERI 26 BANDUNG,2020.0,21.0,Tidak,Ikut,3.38,Wiraswasta,Tinggi,2.0,Tidak,Ya,Ya
56.0,NINDIYA META CLAUDINA,D III Keperawatan | Reguler,P,Dekat,SMK WIDYA YAHYA GADINGREJO,2020.0,21.0,Tidak,Ikut,3.52,Wiraswasta,Sedang,1.0,Tidak,Tidak,Ya
57.0,SEKAR AYU LINTANG SARI,D III Keperawatan | Reguler,P,Jauh,SMK YPIB KOTABUMI,2020.0,21.0,Tidak,Ikut,3.52,Buruh,Rendah,2.0,Tidak,Ya,Ya
58.0,RISNA WARDANI,D III Keperawatan | Reguler,P,Dekat,MAN 1 PRINGSEWU,2020.0,21.0,Tidak,Ikut,3.38,Wiraswasta,Sedang,1.0,Tidak,Ya,Ya
59.0,DEVI EKA SAPUTRI,D III Keperawatan | Reguler,P,Jauh,SMK YPIB KOTABUMI,2020.0,21.0,Tidak,Ikut,2.9,Wiraswasta,Rendah,2.0,Tidak,Ya,Ya
60.0,NABILA OKTAVIANI,D III Keperawatan | Reguler,P,Dekat,SMKS AL-QOLAM,2020.0,21.0,Tidak,Ikut,3.0,Wiraswasta,Tinggi,3.0,Tidak,Ya,Ya
61.0,RIA ANGGREINI PUSPITA SARI,D III Keperawatan | Reguler,P,Dekat,SMA N 1 SUKOHARJO,2020.0,21.0,Tidak,Ikut,3.29,Buruh,Tinggi,2.0,Tidak,Ya,Tidak
62.0,ELA NURAINI,D III Keperawatan | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020.0,21.0,Tidak,Ikut,2.71,PNS,Sedang,3.0,Tidak,Ya,Ya
63.0,MUHAMMAD KADAPI,D III Keperawatan | Reguler,L,Jauh,SMK KESEHATAN HAMPAR BAIDURI KALIANDA,2020.0,21.0,Tidak,Ikut,3.57,Petani,Rendah,2.0,Tidak,Tidak,Ya
64.0,DWI NURHADI.MH,D III Keperawatan | Reguler,L,Jauh,SMA NEGERI 1 PULAU PANGGUNG,2020.0,21.0,Ikut,Ikut,3.33,Petani,Sedang,3.0,Tidak,Tidak,Ya
65.0,KHARISMA WULAN DANI,D III Keperawatan | Reguler,P,Dekat,SMA MUH PRINGSEWU,2020.0,21.0,Tidak,Ikut,3.48,Petani,Sedang,2.0,Tidak,Tidak,Tidak
66.0,SENJA SAFITRI,D III Keperawatan | Reguler,P,Jauh,SMK N 1 TALANG PADANG,2020.0,21.0,Tidak,Ikut,3.38,Petani,Rendah,1.0,Tidak,Tidak,Tidak
67.0,MELINDA MURIYANI,D III Keperawatan | Reguler,P,Jauh,SMKN 1 BANDAR LAMPUNG,2020.0,21.0,Tidak,Ikut,3.71,Petani,Sedang,1.0,Terima,Tidak,Ya
68.0,RIZA CHANDRA KURNIAWAN,D III Keperawatan | Reguler,L,Dekat,SMK HAMPAR BAIDURI,2020.0,21.0,Tidak,Ikut,3.33,PNS,Sedang,3.0,Tidak,Tidak,Ya
69.0,USWATUN KHASANAH,D III Keperawatan | Reguler,P,Jauh,SMA N 2 LIWA,2020.0,21.0,Tidak,Ikut,3.9,PNS,Tinggi,1.0,Tidak,Tidak,Ya
70.0,ADELIA NURTI DARAWATI,D III Keperawatan | Reguler,P,Dekat,SMA NEGERI 1 KALIANDA,2020.0,21.0,Tidak,Ikut,3.57,Wiraswasta,Sedang,2.0,Tidak,Ya,Ya
71.0,AFRIDA METASARI,D III Keperawatan | Reguler,P,Dekat,SMAN 1 KEDONDONG,2020.0,21.0,Tidak,Ikut,3.24,Wiraswasta,Tinggi,2.0,Tidak,Ya,Ya
72.0,MUTIARA RIZKY,D III Keperawatan | Reguler,L,Dekat,SMA MUHAMMADIYAH KOTA AGUNG,2020.0,21.0,Tidak,Ikut,3.43,Karyawan Swasta,Tinggi,2.0,Tidak,Ya,Tidak
73.0,FITRIYANI,D III Keperawatan | Reguler,P,Dekat,SMA N 1 LIMAU,2020.0,21.0,Tidak,Ikut,3.81,Buruh,Rendah,2.0,Terima,Ya,Ya
74.0,RIRIN AYU PUTRI,D III Keperawatan | Reguler,P,Dekat,SMK MUHAMMADIYAH 1 PUBIAN,2020.0,21.0,Tidak,Ikut,3.48,Wiraswasta,Sedang,1.0,Tidak,Ya,Tidak
75.0,YESSA YESIKA ROSALIA,D III Keperawatan | Reguler,P,Dekat,SMK MAARIF BANYUMAS,2020.0,21.0,Tidak,Ikut,3.38,Wiraswasta,Tinggi,2.0,Tidak,Ya,Tidak
76.0,RIZKI RAHMAN,D III Keperawatan | Reguler,L,Jauh,MAN 1 OKU SELATAN,2020.0,21.0,Tidak,Ikut,3.52,PNS,Sedang,2.0,Tidak,Tidak,Tidak
77.0,MAULIDA SAYEKTI UTAMI,D III Keperawatan | Reguler,P,Dekat,SMA N 1 PRINGSEWU,2020.0,21.0,Tidak,Ikut,3.24,PNS,Rendah,4.0,Tidak,Ya,Ya
78.0,RANGGA YUNIZAR,D III Keperawatan | Reguler,L,Dekat,SMK WIDYA YAHYA,2020.0,21.0,Tidak,Ikut,3.76,Karyawan Swasta,Sedang,3.0,Terima,Tidak,Ya
79.0,FENIA BRILIANTI,D III Keperawatan | Reguler,P,Dekat,SMK MA'ARIF PRINGSEWU,2020.0,19.0,Tidak,Ikut,3.47,PNS,Tinggi,3.0,Tidak,Tidak,Tidak
80.0,UMI NUR JANNAH,D III Keperawatan | Reguler,P,Dekat,SMAN 1 KALIREJO,2020.0,19.0,Tidak,Ikut,3.6,Wiraswasta,Tinggi,3.0,Tidak,Ya,Tidak
81.0,NURROZA ARFUAH,D III Keperawatan | Reguler,P,Dekat,SMAN 1 PADANG CERMIN,2020.0,19.0,Tidak,Ikut,3.3,Buruh,Sedang,3.0,Tidak,Ya,Tidak
82.0,NOVIA APRIYANTI,D III Keperawatan | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020.0,19.0,Tidak,Ikut,3.37,Buruh,Rendah,3.0,Tidak,Ya,Ya
83.0,QORINA AULIA UMAMI,D III Keperawatan | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020.0,19.0,Tidak,Ikut,3.46,Buruh,Sedang,3.0,Tidak,Tidak,Tidak
84.0,CHINTIA INKA NURIAH,D III Keperawatan | Reguler,P,Dekat,SMA NEGERI 1 GEDONG TATAAN,2020.0,19.0,Tidak,Ikut,3.59,Buruh,Sedang,3.0,Tidak,Tidak,Ya
85.0,FAQIH YUSUF,D III Keperawatan | Reguler,L,Jauh,SMA N 1 SUMBEREJO,2020.0,19.0,Tidak,Ikut,3.47,Buruh,Sedang,3.0,Tidak,Ya,Ya
86.0,NOVITA CINTIA NINGRUM,D III Keperawatan | Reguler,P,Jauh,SMA NEGERI 1 PAGELARAN,2020.0,19.0,Tidak,Ikut,3.43,Wiraswasta,Rendah,1.0,Tidak,Ya,Ya
87.0,FAJAR TRI NURYATI,D III Keperawatan | Reguler,L,Dekat,PONDOK MODERN DARUSSALAM GONTOR,2020.0,19.0,Tidak,Ikut,2.89,Petani,Tinggi,2.0,Tidak,Tidak,Ya
88.0,LULLI AFTIKARNILA,D III Keperawatan | Reguler,P,Dekat,SMA N 01 PENAWAR AJI,2020.0,19.0,Tidak,Ikut,3.34,Petani,Rendah,2.0,Tidak,Ya,Tidak
89.0,SILVA ANGGRAINI,D III Keperawatan | Reguler,P,Dekat,SMA MUHAMMADIYAH 2 BANDAR LAMPUNG,2020.0,19.0,Tidak,Ikut,2.61,Petani,Tinggi,2.0,Tidak,Tidak,Tidak
90.0,TAMAM FIKRI KHOIRUZ ZAD,D III Keperawatan | Reguler,L,Dekat,SMAN 9 BANDAR LAMPUNG,2020.0,19.0,Ikut,Ikut,3.4,Wiraswasta,Rendah,2.0,Tidak,Tidak,Ya
91.0,AMELIA DEWI,D III Keperawatan | Reguler,P,Dekat,SMA NEGERI 1 SEPUTIH SURABAYA,2020.0,19.0,Tidak,Ikut,2.75,Buruh,Tinggi,1.0,Tidak,Ya,Tidak
92.0,SABRINA AMALIA DIFANI,D III Keperawatan | Reguler,P,Dekat,SMK KESEHATAN MITRA BANGSA TULANG BAWANG,2020.0,19.0,Tidak,Ikut,2.32,Wiraswasta,Sedang,2.0,Tidak,Ya,Tidak
93.0,ARIF CANDRA PRATAMA,D III Keperawatan | Reguler,L,Dekat,SMAN 1 BANGUNREJO,2020.0,19.0,Tidak,Ikut,3.61,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
94.0,IBNU ERLANGGA,D III Keperawatan | Reguler,L,Dekat,SMAN 1 BULOK,2020.0,19.0,Tidak,Ikut,3.8,Petani,Sedang,2.0,Terima,Ya,Ya
95.0,HASRI YANI,D III Keperawatan | Reguler,P,Jauh,SMA N 1 SUNGKAI UTARA,2020.0,19.0,Tidak,Ikut,3.65,Wiraswasta,Sedang,2.0,Tidak,Ya,Ya
96.0,KHARISMA SEPTIA NINGRUM,D III Keperawatan | Reguler,P,Dekat,MA MA'ARIF 1 PUNGGUR,2020.0,19.0,Tidak,Ikut,3.42,Wiraswasta,Rendah,1.0,Tidak,Ya,Tidak
97.0,FARHAN MEIDIANTORO,D III Keperawatan | Reguler,L,Dekat,MA MA'ARIF 1 PUNGGUR,2020.0,19.0,Tidak,Ikut,3.38,Wiraswasta,Rendah,2.0,Tidak,Ya,Tidak
98.0,DEVI KHOIRUNNISA,D III Keperawatan | Reguler,P,Dekat,SMK FARMASI TUNAS BANGSA,2020.0,19.0,Tidak,Ikut,3.68,Wiraswasta,Rendah,3.0,Tidak,Tidak,Ya
99.0,EGA RENATA ABUN,D III Keperawatan | Reguler,P,Dekat,SMAN 1 PAGELARAN,2020.0,19.0,Tidak,Ikut,3.22,Wiraswasta,Rendah,2.0,Tidak,Ya,Ya
100.0,MASYKUR ALBANIN,D III Keperawatan | Reguler,L,Jauh,SMAN 1 TERBANGGI BESAR,2020.0,19.0,Tidak,Ikut,1.68,Petani,Sedang,3.0,Tidak,Tidak,Tidak
101.0,KURNIA DEWI,D III Keperawatan | Reguler,P,Dekat,MA PLUS WALISONGO LAMPUNG UTARA,2020.0,19.0,Tidak,Ikut,3.13,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
102.0,VARADHITA AULYA SARI,D III Keperawatan | Reguler,P,Dekat,SMA N 1 PULAU PANGGUNG,2020.0,19.0,Tidak,Ikut,3.67,PNS,Sedang,1.0,Tidak,Ya,Tidak
103.0,FIRANETA RIVANTI,D III Keperawatan | Reguler,P,Dekat,SMA N 1 LIWA,2020.0,19.0,Tidak,Ikut,3.8,PNS,Rendah,4.0,Terima,Ya,Ya
104.0,FANI LIA SARI,D III Keperawatan | Reguler,P,Jauh,MAN 1 PESAWARAN,2020.0,19.0,Tidak,Ikut,3.65,Petani,Tinggi,1.0,Tidak,Tidak,Ya
105.0,SEKAR DAFA SETIA NINGRUM,D III Keperawatan | Reguler,P,Jauh,SMA NEGERI 1 PADANG CERMIN,2020.0,19.0,Tidak,Ikut,3.62,Petani,Tinggi,1.0,Tidak,Tidak,Ya
106.0,DIVA ANNISA AZZAHRA,DIII Kebidanan | Reguler,P,Dekat,SMAN 1 LIWA,2020.0,19.0,Tidak,Ikut,3.37,Wiraswasta,Tinggi,3.0,Tidak,Ya,Ya
107.0,AHMAD IHZA MAHENDRA,DIII Kebidanan | Reguler,L,Dekat,SMAN 1 PRINGSEWU,2020.0,19.0,Tidak,Ikut,3.48,Petani,Sedang,2.0,Tidak,Ya,Tidak
108.0,SITI LUTFIATI,DIII Kebidanan | Reguler,P,Dekat,SMA NEGERI 1 GUNUNG SUGIH,2020.0,19.0,Tidak,Ikut,3.13,Wiraswasta,Sedang,2.0,Tidak,Ya,Ya
109.0,LARAS PUTRI ANDINI,DIII Kebidanan | Reguler,P,Dekat,SMA NEGRI 2 KOTAAGUNG,2020.0,19.0,Tidak,Ikut,3.26,Buruh,Tinggi,2.0,Tidak,Ya,Tidak
110.0,PUTRI DINDA LESTARI,DIII Kebidanan | Reguler,P,Jauh,SMA N 1 BANDAR MATARAM,2020.0,19.0,Tidak,Ikut,3.52,Karyawan Swasta,Sedang,2.0,Tidak,Tidak,Ya
111.0,SUCI NURHAYATI,DIII Kebidanan | Reguler,P,Dekat,SMA N 1 SENDANG AGUNG,2020.0,19.0,Tidak,Ikut,3.39,Petani,Rendah,2.0,Tidak,Ya,Ya
112.0,NURHASANAH,DIII Kebidanan | Reguler,P,Dekat,SMK N 7 BANDAR LAMPUNG,2020.0,19.0,Tidak,Ikut,2.7,Petani,Rendah,1.0,Tidak,Tidak,Tidak
113.0,MUTIARA INDAH,DIII Kebidanan | Reguler,P,Dekat,SMA N 7 BANDAR LAMPUNG,2020.0,19.0,Tidak,Ikut,3.11,Petani,Rendah,2.0,Tidak,Ya,Ya
114.0,INTANG AULIA,DIII Kebidanan | Reguler,P,Dekat,SMK SMTI BANDAR LAMPUNG,2020.0,19.0,Tidak,Ikut,3.48,Petani,Rendah,2.0,Tidak,Tidak,Ya
115.0,BUNGA AMELIA CITRA,DIII Kebidanan | Reguler,P,Dekat,MAN 1 TANGGAMUS,2020.0,19.0,Tidak,Ikut,3.44,Wiraswasta,Sedang,4.0,Tidak,Ya,Ya
116.0,VIRGIN ANA EKARANI,DIII Kebidanan | Reguler,P,Jauh,SMA N 01 WAY TENONG,2020.0,19.0,Tidak,Ikut,3.68,PNS,Tinggi,3.0,Tidak,Ya,Tidak
117.0,CHINDY AYU LESTARI,DIII Kebidanan | Reguler,P,Dekat,SMKN 1 WAY TENONG,2020.0,19.0,Tidak,Ikut,3.28,Petani,Tinggi,3.0,Tidak,Tidak,Ya
118.0,ADINDA DWI LESTARI,DIII Kebidanan | Reguler,P,Dekat,SMA N 2 KALIANDA,2020.0,19.0,Tidak,Ikut,3.46,Buruh,Tinggi,3.0,Tidak,Tidak,Ya
119.0,HANI ALFAIDA,DIII Kebidanan | Reguler,P,Jauh,SMK YP 96 BUKIT KEMUNING,2020.0,19.0,Tidak,Ikut,3.59,PNS,Sedang,3.0,Tidak,Tidak,Ya
120.0,FAHULIA USWATUN HASANAH,DIII Kebidanan | Reguler,P,Jauh,SMA NEGRI 1 KOTA METRO,2020.0,19.0,Tidak,Ikut,3.79,Petani,Tinggi,3.0,Tidak,Ya,Ya
121.0,NESIA ARIBAH AZHARA,DIII Kebidanan | Reguler,P,Dekat,SMA XAVERIUS PRINGSEWU,2020.0,19.0,Tidak,Ikut,3.47,Wiraswasta,Tinggi,3.0,Tidak,Ya,Tidak
122.0,DEFA KURNIA IRAWATI,DIII Kebidanan | Reguler,P,Dekat,SMAN 17 BANDAR LAMPUNG,2020.0,19.0,Tidak,Ikut,3.09,PNS,Tinggi,3.0,Tidak,Ya,Tidak
123.0,LUTFIA QISTI AWALIN,DIII Kebidanan | Reguler,P,Dekat,SMA MUHAMMADIYAH GISTING,2020.0,19.0,Tidak,Ikut,3.08,Karyawan Swasta,Rendah,3.0,Tidak,Ya,Ya
124.0,ORIZA NOFANDI ALFIRDAUS,DIII Kebidanan | Reguler,L,Dekat,SMK YPIB KOTABUMI,2020.0,19.0,Tidak,Ikut,3.4,PNS,Tinggi,1.0,Tidak,Tidak,Ya
